postId,createdAt,visibility,updatedAt,content,mediaUrls,groupId,sharedFromPostId
P00001,2026-03-31T22:22:50,group,2026-04-01T20:21:02,Mọi người học IELTS listening bằng nguồn nào?,,,
P00002,2026-02-09T19:18:35,public,2026-03-08T22:11:01,Chia sẻ bộ từ vựng chủ đề education.,,G038,
P00003,2025-05-31T08:26:58,group,2025-10-14T06:54:58,Bài này giải thích khá dễ về budgeting.,,,
P00004,2026-01-08T01:14:33,public,2026-01-17T05:39:26,Chia sẻ bộ từ vựng chủ đề education.,,G068,
P00005,2025-05-02T06:34:19,group,2025-05-17T15:29:40,Có tài liệu nào học Figma từ cơ bản tới nâng cao không?,,,
P00006,2024-08-09T00:01:53,group,2025-02-09T18:26:14,Case study này khá hay cho team kinh doanh.,,,
P00007,2026-03-19T09:05:18,public,2026-03-20T14:07:39,Case study này khá hay cho team kinh doanh.,https://example.com/media/post_00007.jpg,G037,
P00008,2025-08-27T01:24:26,group,2025-10-18T09:13:45,Case study này khá hay cho team kinh doanh.,,,
P00009,2024-08-03T04:50:09,group,2025-03-04T11:19:28,Mình đang học design system.,,G033,
P00010,2024-10-16T04:06:34,public,2025-03-28T04:12:47,Chia sẻ case branding mình thấy khá hay.,,G041,
P00011,2025-04-21T17:03:01,group,2025-12-09T21:42:14,Mình đang phân tích hành vi khách hàng cho shop.,,,
P00012,2025-10-13T04:47:57,group,2026-02-08T13:42:04,Mình cần template content plan cho fanpage.,,G047,
P00013,2025-08-05T23:46:23,public,2025-09-11T09:27:56,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,,G061,
P00014,2025-09-24T19:50:37,public,2026-01-25T13:45:28,Mọi người học IELTS listening bằng nguồn nào?,,G036,
P00015,2026-02-21T11:35:42,group,2026-03-28T09:06:58,Có tài liệu nào học Figma từ cơ bản tới nâng cao không?,,,
P00016,2026-02-06T11:17:44,friends,2026-02-21T20:49:07,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,https://example.com/media/post_00016.jpg,,
P00017,2026-01-18T20:50:07,friends,2026-03-14T12:04:28,Ai muốn luyện speaking buổi tối không?,,,
P00018,2024-12-16T05:55:14,public,2026-01-25T18:55:03,Có ai từng làm growth experiment cho startup chưa?,,G029,
P00019,2025-05-27T01:51:27,group,2026-02-11T12:36:42,Có ai muốn lập nhóm học FP&A không?,,,
P00020,2025-12-10T05:12:13,public,2026-02-13T00:59:00,Chia sẻ case branding mình thấy khá hay.,,G019,
P00021,2026-03-20T15:50:52,group,2026-03-28T06:16:58,Neo4j dùng cho friend suggestion khá hợp.,,G062,
P00022,2026-03-26T05:25:26,public,2026-03-30T21:44:16,Mình đang phân tích hành vi khách hàng cho shop.,,G049,
P00023,2026-03-02T23:04:51,friends,2026-03-23T00:47:57,Ai có bài tập Neo4j hay cho mình xin với.,,,
P00024,2025-01-28T21:11:26,group,2025-07-13T14:40:12,Mọi người nghĩ sao về product-market fit?,,,
P00025,2025-03-01T03:02:40,group,2026-03-30T15:00:25,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,,,
P00026,2025-06-28T19:47:10,group,2025-07-17T10:21:37,Typography nào dễ dùng cho mobile app?,https://example.com/media/post_00026.jpg,,
P00027,2026-02-25T07:39:29,public,2026-03-04T12:10:05,Mình đang học về quy trình sales ops.,,,
P00028,2025-10-21T11:42:03,group,2026-03-24T18:32:55,Mọi người dùng KPI nào để đo hiệu quả content?,,G040,
P00029,2025-10-13T09:01:46,group,2026-01-03T06:36:18,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,,
P00030,2026-01-19T07:54:38,friends,2026-01-20T17:58:01,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,,,
P00031,2025-02-28T13:25:13,public,2025-05-22T21:38:47,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,https://example.com/media/post_00031.jpg,,
P00032,2025-10-16T09:58:37,group,2025-11-12T08:40:06,Có ai đang học system design không?,,G062,
P00033,2025-10-13T22:37:38,friends,2026-02-20T02:16:50,Chia sẻ case branding mình thấy khá hay.,,,
P00034,2025-12-22T04:55:06,public,2026-01-20T12:33:23,Mình đang học quản trị dòng tiền.,,G071,
P00035,2025-01-13T16:23:27,public,2025-07-16T06:48:10,Ai có bài tập Neo4j hay cho mình xin với.,,G039,
P00036,2025-09-13T10:20:34,public,2025-12-11T07:22:43,Mọi người góp ý giúp mình layout này với.,https://example.com/media/post_00036.jpg,G029,
P00037,2026-01-01T23:22:00,group,2026-01-30T09:47:25,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,,
P00038,2025-01-03T17:58:09,group,2025-07-31T03:27:42,Typography nào dễ dùng cho mobile app?,,G024,
P00039,2025-07-01T21:38:20,group,2025-12-03T10:30:18,Có ai đang học system design không?,,G016,
P00040,2024-10-09T08:56:51,public,2025-03-28T09:29:12,Case study này khá hay cho team kinh doanh.,https://example.com/media/post_00040.jpg,,
P00041,2025-11-28T02:30:59,public,2026-02-19T21:34:43,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,,G087,
P00042,2024-12-24T00:36:37,group,2026-03-04T23:17:39,Mình đang học quản trị dòng tiền.,,G017,
P00043,2024-09-21T16:11:39,group,2025-09-02T20:23:03,Chia sẻ tài liệu SQL cơ bản cho người mới.,,G018,
P00044,2025-06-25T13:42:43,friends,2026-03-05T22:36:06,Chia sẻ case branding mình thấy khá hay.,,,
P00045,2026-02-27T22:23:24,friends,2026-03-07T04:34:18,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,,G087,
P00046,2025-12-07T23:50:05,friends,2025-12-09T14:23:49,Mình cần template content plan cho fanpage.,,G040,
P00047,2025-07-13T04:19:48,public,2026-02-20T20:23:24,Chia sẻ bộ từ vựng chủ đề education.,,,
P00048,2025-01-29T10:43:52,group,2025-11-15T18:48:48,Mọi người dùng KPI nào để đo hiệu quả content?,,,
P00049,2025-12-03T18:21:31,public,2026-01-10T13:07:28,Typography nào dễ dùng cho mobile app?,,,
P00050,2025-11-16T04:43:00,public,2026-03-01T14:20:02,Mọi người nghĩ sao về product-market fit?,https://example.com/media/post_00050.jpg,,
P00051,2025-05-08T09:41:04,friends,2026-01-20T04:20:02,Ai muốn luyện speaking buổi tối không?,,G038,
P00052,2024-12-23T10:18:35,group,2025-08-11T00:56:49,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,,G018,
P00053,2025-12-11T22:20:29,public,2026-02-06T08:19:15,Có ai muốn lập nhóm học FP&A không?,,G044,
P00054,2025-11-14T23:20:39,group,2026-03-29T09:04:10,Bài này giải thích khá dễ về budgeting.,,G044,
P00055,2025-12-21T15:12:44,friends,2026-01-26T21:51:50,Mình cần bạn học writing task 2.,,G038,
P00056,2025-10-06T18:23:24,public,2025-10-22T09:56:42,Có ai từng làm growth experiment cho startup chưa?,https://example.com/media/post_00056.jpg,,
P00057,2026-01-10T05:25:41,public,2026-03-07T21:59:52,Mình đang phân tích hành vi khách hàng cho shop.,,G049,
P00058,2026-01-28T03:48:04,public,2026-02-15T20:56:56,Neo4j dùng cho friend suggestion khá hợp.,https://example.com/media/post_00058.jpg,G058,
P00059,2026-03-31T10:13:55,public,2026-04-01T02:27:52,Bài này giải thích khá dễ về budgeting.,,G015,
P00060,2026-02-13T22:24:03,group,2026-02-23T06:07:45,Bài này giải thích khá dễ về budgeting.,,,
P00061,2026-03-10T18:44:14,friends,2026-03-19T07:20:23,Mọi người recommend tài liệu Spring Boot nhé.,,G062,
P00062,2025-07-09T17:02:03,group,2025-10-26T01:54:57,Mọi người recommend tài liệu Spring Boot nhé.,,,
P00063,2026-01-22T01:36:40,public,2026-02-03T21:49:27,Có ai đang học system design không?,https://example.com/media/post_00063.jpg,,
P00064,2025-09-27T00:52:41,group,2025-10-09T22:13:58,Có ai muốn lập nhóm học FP&A không?,,,
P00065,2025-12-07T06:02:39,group,2026-03-03T13:31:48,Mình đang phân tích hành vi khách hàng cho shop.,,,
P00066,2026-02-07T16:40:16,public,2026-02-26T23:30:10,Mọi người recommend tài liệu Spring Boot nhé.,,,
P00067,2025-10-08T19:45:28,group,2025-10-22T00:56:32,Mọi người dùng KPI nào để đo hiệu quả content?,,,
P00068,2026-03-09T09:44:14,public,2026-03-14T15:17:53,Mình đang học quản trị dòng tiền.,,,
P00069,2025-11-10T17:00:50,public,2026-01-28T07:25:01,Ai muốn luyện speaking buổi tối không?,,G008,
P00070,2025-09-12T03:45:23,public,2025-09-27T13:43:56,Mọi người học IELTS listening bằng nguồn nào?,https://example.com/media/post_00070.jpg,G036,
P00071,2025-10-24T15:29:34,public,2025-11-07T02:51:25,Mình đang học quản trị dòng tiền.,,G048,
P00072,2025-10-21T18:26:51,group,2025-12-15T19:19:15,Có ai muốn lập nhóm học FP&A không?,,G064,
P00073,2025-12-08T01:03:38,public,2026-01-07T19:00:09,Bài này giải thích khá dễ về budgeting.,,,
P00074,2025-10-18T04:30:07,public,2026-02-05T06:25:39,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,G044,
P00075,2025-12-05T03:10:23,group,2026-01-11T11:17:18,Mình cần bạn học writing task 2.,https://example.com/media/post_00075.jpg,,
P00076,2026-01-12T05:36:42,friends,2026-01-21T22:23:05,Ai muốn luyện speaking buổi tối không?,,,
P00077,2025-08-08T09:45:21,friends,2025-12-18T05:17:19,Mình cần template content plan cho fanpage.,,,
P00078,2025-03-11T15:30:25,friends,2026-02-20T03:26:02,Mình đang phân tích hành vi khách hàng cho shop.,https://example.com/media/post_00078.jpg,G081,
P00079,2026-03-04T17:24:14,public,2026-03-13T05:15:01,Có ai học dataset Olist không?,,G009,
P00080,2025-03-01T05:39:44,group,2025-10-13T01:17:37,Ai có bài tập Neo4j hay cho mình xin với.,https://example.com/media/post_00080.jpg,G031,
P00081,2025-09-16T21:44:15,public,2025-11-19T18:10:36,Có tài liệu nào học Figma từ cơ bản tới nâng cao không?,,G030,
P00082,2026-03-30T21:38:28,public,2026-03-31T19:59:14,Có ai học dataset Olist không?,https://example.com/media/post_00082.jpg,,
P00083,2026-03-16T17:34:41,group,2026-03-19T23:51:00,Mọi người góp ý giúp mình layout này với.,,,
P00084,2026-03-31T02:48:53,group,2026-04-01T15:48:17,Ai có bài tập Neo4j hay cho mình xin với.,https://example.com/media/post_00084.jpg,,
P00085,2026-02-09T19:58:40,friends,2026-03-13T18:06:13,Chia sẻ bộ từ vựng chủ đề education.,,,
P00086,2025-02-21T16:30:41,group,2026-02-28T23:16:01,Mọi người góp ý giúp mình layout này với.,,G079,
P00087,2024-10-24T17:37:28,public,2026-02-04T23:39:49,Chia sẻ bộ từ vựng chủ đề education.,https://example.com/media/post_00087.jpg,,
P00088,2025-12-26T18:39:53,public,2026-02-02T10:11:04,Case study này khá hay cho team kinh doanh.,,,
P00089,2025-05-05T01:10:22,friends,2026-01-29T02:47:38,Neo4j dùng cho friend suggestion khá hợp.,,G082,
P00090,2025-01-25T01:43:21,public,2025-11-23T19:45:54,Có tài liệu nào học Figma từ cơ bản tới nâng cao không?,https://example.com/media/post_00090.jpg,G033,
P00091,2025-12-14T13:05:12,friends,2026-02-01T12:10:29,Ai muốn luyện speaking buổi tối không?,,G068,
P00092,2025-07-09T16:26:28,public,2025-07-19T14:29:27,Mình đang phân tích hành vi khách hàng cho shop.,,,
P00093,2026-03-04T19:05:52,public,2026-03-05T06:39:05,Typography nào dễ dùng cho mobile app?,https://example.com/media/post_00093.jpg,G027,
P00094,2025-07-22T12:03:25,friends,2025-11-05T19:33:42,Bài này giải thích khá dễ về budgeting.,https://example.com/media/post_00094.jpg,G048,
P00095,2025-04-27T19:02:13,group,2025-11-09T16:56:49,Mọi người recommend tài liệu Spring Boot nhé.,https://example.com/media/post_00095.jpg,,
P00096,2025-10-20T10:39:36,group,2025-12-12T15:12:44,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G014,
P00097,2025-12-23T01:12:33,group,2026-02-05T21:40:48,Mình đang học về quy trình sales ops.,,G077,
P00098,2024-11-27T07:39:37,public,2025-06-09T12:11:16,Có ai đã chạy A/B test cho landing page chưa?,,,
P00099,2026-01-27T06:43:57,public,2026-03-03T06:50:32,"Mình đang build app nhỏ bằng React, cần góp ý UI.",,G062,
P00100,2025-11-08T08:33:27,friends,2025-11-28T10:32:40,Mình vừa hoàn thành dashboard đầu tiên bằng Power BI.,,,
P00101,2026-03-14T15:06:25,group,2026-03-27T17:09:55,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,G059,
P00102,2025-04-05T01:41:39,public,2025-07-15T18:37:38,Mình đang phân tích hành vi khách hàng cho shop.,,G026,
P00103,2025-12-24T23:19:17,public,2026-02-11T10:37:00,Mọi người góp ý giúp mình layout này với.,,G033,
P00104,2025-06-03T21:08:56,group,2025-12-13T02:51:18,Mình đang học về quy trình sales ops.,,,
P00105,2025-10-30T06:20:23,public,2026-02-25T16:09:47,Chia sẻ tài liệu SQL cơ bản cho người mới.,https://example.com/media/post_00105.jpg,G003,
P00106,2024-12-03T09:21:48,public,2025-12-20T23:22:49,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,,
P00107,2025-11-24T16:45:07,public,2026-01-21T00:33:50,Chia sẻ bộ từ vựng chủ đề education.,,G038,
P00108,2024-12-12T20:06:40,public,2025-02-24T17:00:14,Mình đang học quản trị dòng tiền.,,G044,
P00109,2024-03-02T05:20:50,public,2024-06-07T18:03:02,Có ai học dataset Olist không?,,,
P00110,2025-09-21T21:15:58,public,2026-01-12T14:02:15,Chia sẻ case branding mình thấy khá hay.,https://example.com/media/post_00110.jpg,G040,
P00111,2024-11-17T06:10:17,friends,2025-09-20T01:51:44,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,,
P00112,2025-04-25T04:59:47,group,2025-05-19T21:37:57,Mọi người dùng KPI nào để đo hiệu quả content?,,G005,
P00113,2025-05-09T12:29:43,group,2026-03-07T22:47:29,Mình cần bạn học writing task 2.,,,
P00114,2025-11-05T17:14:47,public,2025-12-20T13:13:47,Chia sẻ tài liệu SQL cơ bản cho người mới.,,,
P00115,2024-04-03T04:15:32,friends,2024-11-23T23:34:05,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,https://example.com/media/post_00115.jpg,,
P00116,2025-06-21T23:16:27,group,2025-07-07T21:23:53,Mọi người học IELTS listening bằng nguồn nào?,,,
P00117,2026-02-06T07:53:42,group,2026-03-07T04:16:01,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,,
P00118,2025-10-17T17:11:06,public,2026-01-17T20:47:37,Mọi người có kinh nghiệm tối ưu đơn hàng hoàn không?,,,
P00119,2026-02-08T02:16:26,group,2026-03-28T09:14:08,Mọi người dùng KPI nào để đo hiệu quả content?,,G047,
P00120,2025-01-03T03:27:45,friends,2026-03-25T17:38:43,Mình đang học quản trị dòng tiền.,https://example.com/media/post_00120.jpg,G065,
P00121,2026-03-23T17:56:31,public,2026-03-27T00:29:49,Bài này giải thích khá dễ về budgeting.,,,
P00122,2025-08-06T14:40:35,group,2026-03-08T01:12:46,Ai có bài tập Neo4j hay cho mình xin với.,,,
P00123,2026-01-21T01:54:38,group,2026-02-23T03:08:13,Mọi người theo dõi chỉ số nào khi phân tích cổ phiếu?,,,
P00124,2025-07-08T02:55:08,public,2025-11-18T07:00:57,Ai muốn luyện speaking buổi tối không?,https://example.com/media/post_00124.jpg,G008,
P00125,2026-03-22T23:14:58,public,2026-03-30T22:35:32,Mình đang học design system.,https://example.com/media/post_00125.jpg,G001,
P00126,2025-01-04T19:37:05,friends,2025-12-15T05:09:06,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,,G061,
P00127,2026-03-01T06:03:18,public,2026-03-19T21:43:06,Có ai học dataset Olist không?,,,
P00128,2026-03-14T09:03:46,public,2026-03-15T16:37:21,Mọi người học IELTS listening bằng nguồn nào?,,G053,
P00129,2025-08-26T11:29:28,public,2026-01-15T07:19:22,Mình cần template content plan cho fanpage.,,,
P00130,2024-09-02T21:34:45,group,2024-12-24T07:20:47,Case study này khá hay cho team kinh doanh.,,G037,
P00131,2025-03-23T03:47:43,friends,2025-09-08T01:45:32,Neo4j dùng cho friend suggestion khá hợp.,https://example.com/media/post_00131.jpg,G046,
P00132,2024-07-22T06:30:29,friends,2024-12-16T12:25:03,Có ai học dataset Olist không?,,,
P00133,2026-02-14T20:00:58,public,2026-03-19T11:22:32,Chia sẻ tài liệu SQL cơ bản cho người mới.,https://example.com/media/post_00133.jpg,,
P00134,2026-03-18T15:31:37,public,2026-03-24T21:54:55,Có ai học dataset Olist không?,,,
P00135,2025-06-05T16:12:39,public,2025-09-20T02:01:42,Mình đang học design system.,,,
P00136,2025-11-17T07:06:04,friends,2026-02-09T15:48:32,Mình cần template content plan cho fanpage.,,G025,
P00137,2026-03-29T09:54:46,group,2026-04-01T13:52:02,Mọi người góp ý giúp mình layout này với.,,G012,
P00138,2025-07-18T15:51:33,friends,2026-01-14T04:06:08,Mọi người dùng KPI nào để đo hiệu quả content?,https://example.com/media/post_00138.jpg,G040,
P00139,2025-12-31T20:29:08,group,2026-01-31T11:15:36,Chia sẻ vài chỉ số cần theo dõi trong e-commerce.,,G009,
P00140,2024-10-04T15:49:39,group,2025-06-06T20:32:22,Case study này khá hay cho team kinh doanh.,,,
P00141,2025-05-27T01:28:39,group,2025-09-21T01:51:42,Typography nào dễ dùng cho mobile app?,,G027,
P00142,2025-05-13T06:48:44,group,2025-08-16T02:50:31,Mọi người thấy roadmap Data Analyst nên bắt đầu từ đâu?,https://example.com/media/post_00142.jpg,G020,
P00143,2025-12-18T10:11:43,public,2025-12-19T21:38:24,Chia sẻ case branding mình thấy khá hay.,,G053,
P00144,2025-03-17T11:53:33,public,2026-03-05T17:20:23,Mình đang học design system.,,G029,
