groupId,status,createdAt,name,privacy,coverUrl,updatedAt,description,ownerId
G001,active,2025-04-19T18:15:09,Figma Practice #30,public,https://example.com/group/g001.jpg,2025-12-21T16:40:46,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0462
G002,active,2026-01-14T10:58:09,Frontend UI Club #25,public,https://example.com/group/g002.jpg,2026-01-25T07:56:16,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0790
G003,active,2026-02-07T09:53:24,Sales & Ops Club #8,private,https://example.com/group/g003.jpg,2026-03-14T00:10:47,Nhóm dành cho cộng đồng business trao đổi kiến thức và kết nối.,U0335
G004,active,2025-05-28T05:45:37,English Daily Talk #4,private,https://example.com/group/g004.jpg,2026-03-17T05:29:59,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0549
G005,active,2025-02-07T12:55:16,Content Lab #21,public,https://example.com/group/g005.jpg,2025-11-15T19:35:19,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0317
G006,active,2025-03-10T19:05:56,System Design Căn bản #8,public,https://example.com/group/g006.jpg,2025-04-19T12:33:41,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0284
G007,active,2026-02-06T06:35:32,Seller Ops Vietnam #3,public,https://example.com/group/g007.jpg,2026-03-07T20:56:43,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0047
G008,active,2026-03-05T02:46:04,Writing Workshop #4,public,https://example.com/group/g008.jpg,2026-03-06T06:08:47,Nhóm dành cho cộng đồng english trao đổi kiến thức và kết nối.,U0802
G009,active,2025-06-16T04:28:01,Olist Study Group #25,public,https://example.com/group/g009.jpg,2026-02-25T02:19:23,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0338
G010,active,2025-03-16T00:48:45,Design Critique #8,public,https://example.com/group/g010.jpg,2025-04-18T20:41:20,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0492
G011,active,2026-03-23T03:08:18,Customer Insight Lab #27,public,https://example.com/group/g011.jpg,2026-03-27T06:35:42,Nhóm dành cho cộng đồng ecommerce trao đổi kiến thức và kết nối.,U0299
G012,active,2025-10-26T02:03:01,Design Critique #12,public,https://example.com/group/g012.jpg,2025-12-16T23:58:10,Nhóm dành cho cộng đồng design trao đổi kiến thức và kết nối.,U0482
G013,active,2025-07-14T21:11:31,System Design Căn bản #8,private,https://example.com/group/g013.jpg,2026-02-10T07:22:47,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0572
G014,active,2025-08-31T14:03:45,FP&A Study #18,public,https://example.com/group/g014.jpg,2026-04-01T09:11:11,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0594
G015,active,2025-07-18T16:28:58,Tài chính cá nhân #19,private,https://example.com/group/g015.jpg,2026-03-13T17:24:43,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0323
G016,active,2024-04-03T02:00:30,System Design Căn bản #27,private,https://example.com/group/g016.jpg,2026-03-08T17:00:04,Nhóm dành cho cộng đồng tech trao đổi kiến thức và kết nối.,U0652
G017,active,2026-03-22T13:40:20,FP&A Study #19,public,https://example.com/group/g017.jpg,2026-03-26T04:15:54,Nhóm dành cho cộng đồng finance trao đổi kiến thức và kết nối.,U0262
G018,active,2026-03-22T06:55:49,Học SQL cùng nhau #7,public,https://example.com/group/g018.jpg,2026-03-28T23:46:20,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0681
G019,active,2026-02-07T11:29:43,Social Media Growth #26,private,https://example.com/group/g019.jpg,2026-02-25T01:43:11,Nhóm dành cho cộng đồng marketing trao đổi kiến thức và kết nối.,U0344
G020,active,2025-03-26T16:23:03,Python cho phân tích dữ liệu #12,private,https://example.com/group/g020.jpg,2026-02-20T11:14:58,Nhóm dành cho cộng đồng data trao đổi kiến thức và kết nối.,U0121
